id,scientific_name,GBIF_ID,rank
hildebrandtiaornata,Hildebrandtia ornata,5218012,SPECIES
himantopushimantopus,Himantopus himantopus,5229126,SPECIES
hippopotamusamphibius,Hippopotamus amphibius,2441247,SPECIES
hippotragusequinuskoba,Hippotragus equinus koba,4262743,SUBSPECIES
homoxyrrhepespunctipennis,Homoxyrrhepes punctipennis,1711804,SPECIES
hoplobatrachusoccipitalis,Hoplobatrachus occipitalis,2430378,SPECIES
humbetenuicornis,Humbe tenuicornis,1704235,SPECIES
hyaenahyaena,Hyaena hyaena,5218777,SPECIES
hyalommaimpeltatum,Hyalomma impeltatum,2182989,
hycleusaffinis,Hycleus affinis,6955734,
hydrocynusforskahlii,Hydrocynus forskahlii,2356166,SPECIES
hygrophilaauriculata,Hygrophila auriculata,9155704,SPECIES
hylaranagalamensis,Hylarana galamensis,2426873,SPECIES
hyphaenethebaica,Hyphaene thebaica,7931200,SPECIES
hypoderma,Hypoderma,1587282,GENUS
hyptisspicigera,Hyptis spicigera,7664995,
hyptissuaveolens,Hyptis suaveolens,3889017,
hystrixcristata,Hystrix cristata,5219888,SPECIES
ichneumiaalbicauda,Ichneumia albicauda,9468301,
ictonyxstriatus,Ictonyx striatus,2433840,SPECIES
indigoferaastragalina,Indigofera astragalina,2972077,SPECIES
indigoferacoeruleaoccidentalis,Indigofera coerulea occidentalis,2971773,VARIETY
indigoferahirsutavarhirsuta,Indigofera hirsuta var hirsuta,2972082,
indigoferaleprieurii,Indigofera leprieurii,2972143,SPECIES
indigoferaoblongifolia,Indigofera oblongifolia,2971726,SPECIES
indigoferaomissa,Indigofera omissa,2971574,SPECIES
indigoferastenophyllavarstenophylla,Indigofera stenophylla var. stenophylla,9069160,VARIETY
indigoferatinctoriatinctoria,Indigofera tinctoria tinctoria,4929518,SUBSPECIES
ipomoeaaquatica,Ipomoea aquatica,2928525,SPECIES
ipomoeaasarifolia,Ipomoea asarifolia,2928595,SPECIES
ipomoeabatatas,Ipomoea batatas,2928551,SPECIES
ipomoeacoptica,Ipomoea coptica,8117771,
ipomoeacoscinosperma,Ipomoea coscinosperma,3680903,SPECIES
ipomoeadichroa,Ipomoea dichroa,3680235,SPECIES
ipomoea,Ipomoea,2928509,GENUS
ipomoeaobscura,Ipomoea obscura,2928565,SPECIES
ipomoeapestigridis,Ipomoea pes-tigridis,2928524,SPECIES
ipomoeavagans,Ipomoea vagans,7857257,SPECIES
jacquemontiatamnifolia,Jacquemontia tamnifolia,5341725,SPECIES
jatrophacurcas,Jatropha curcas,3072953,SPECIES
jatrophagossypiifolia,Jatropha gossypiifolia,3072900,SPECIES
khayasenegalensis,Khaya senegalensis,3190508,SPECIES
kigeliaafricana,Kigelia africana,3172561,SPECIES
kleiniacliffordiana,Kleinia cliffordiana,5405694,SPECIES
kraussariaangulifera,Kraussaria angulifera,1706307,SPECIES
kraussellaamabile,Kraussella amabile,5098399,SPECIES
labeosenegalensis,Labeo senegalensis,5206149,SPECIES
lachlathetesfurfuraceus,Lachlathetes furfuraceus,2101014,SPECIES
lagenariasiceraria,Lagenaria siceraria,2874672,SPECIES
lagonostictasenegala,Lagonosticta senegala,2493680,SPECIES
lamprotorniscaudatus,Lamprotornis caudatus,2489076,SPECIES
lamprotornischalybaeus,Lamprotornis chalybaeus,2489071,SPECIES
lamprotornispulcher,Lamprotornis pulcher,2489087,SPECIES
lanelaternotodonta,Lanelater notodonta,4428974,SPECIES
laniusmeridionalis,Lanius meridionalis,7341500,SPECIES
lanneahumilis,Lannea humilis,3660948,SPECIES
lanneamicrocarpa,Lannea microcarpa,3660881,SPECIES
lantanacamara,Lantana camara,2925303,SPECIES
latastialongicaudata,Latastia longicaudata,5960643,SPECIES
latesniloticus,Lates niloticus,2393184,SPECIES
lawsoniainermis,Lawsonia inermis,5420912,SPECIES
leonotisnepetifoliaafricana,Leonotis nepetifolia africana,7741209,VARIETY
lepidagathisanobrya,Lepidagathis anobrya,3777231,SPECIES
lepisanthessenegalensis,Lepisanthes senegalensis,3784947,SPECIES
leptadeniahastata,Leptadenia hastata,3580243,
leptadeniapyrotechnica,Leptadenia pyrotechnica,3580180,SPECIES
leptailurusserval,Leptailurus serval,2435172,SPECIES
leptoptiloscrumeniferus,Leptoptilos crumeniferus,2481946,SPECIES
lepuscapensis,Lepus capensis,2436736,SPECIES
lethocerus,Lethocerus,2007579,GENUS
leucas,Leucas,2927112,
leucasmartinicensis,Leucas martinicensis,7775217,
limeumpterocarpumvarpterocarpum,Limeum pterocarpum var. pterocarpum,3783554,
lissotismelanogaster,Lissotis melanogaster,2474850,SPECIES
loeseneriellaafricana,Loeseneriella africana,7265604,
lonchocarpuslaxiflorus,Lonchocarpus laxiflorus,7737387,SPECIES
lonchuracantans,Lonchura cantans,7340335,
loudetiatogoensis,Loudetia togoensis,5675621,SPECIES
loxodontaafricana,Loxodonta africana,2435350,SPECIES
ludwigiaerecta,Ludwigia erecta,5420986,
ludwigiahyssopifolia,Ludwigia hyssopifolia,8924323,SPECIES
lybiusdubius,Lybius dubius,2479027,SPECIES
lybiusvieilloti,Lybius vieilloti,2479002,SPECIES
lycaonpictus,Lycaon pictus,5219317,SPECIES
lydomorphusdusaulti,Lydomorphus dusaulti,4571647,
macrodipteryxlongipennis,Macrodipteryx longipennis,2496824,SPECIES
macrosphyralongistyla,Macrosphyra longistyla,2904943,
macrotermessubhyalinus,Macrotermes subhyalinus,9675674,SPECIES
maeruaangolensis,Maerua angolensis,7273321,SPECIES
maeruacrassifolia,Maerua crassifolia,3871765,SPECIES
malapteruruselectricus,Malapterurus electricus,2342026,SPECIES
mangiferaindica,Mangifera indica,3190638,SPECIES
manihotesculenta,Manihot esculenta,3060998,SPECIES
marcuseniussenegalensis,Marcusenius senegalensis,4286661,SPECIES
marsileaminuta,Marsilea minuta,5274876,SPECIES
mastomyserythroleucus,Mastomys erythroleucus,2438912,SPECIES
mastomysnatalensis,Mastomys natalensis,2438911,SPECIES
mecistopscataphractus,Mecistops cataphractus,2441403,SPECIES
melieraxmetabates,Melierax metabates,2480733,SPECIES
mellivoracapensis,Mellivora capensis,2433695,SPECIES
meropsalbicollis,Merops albicollis,2475448,SPECIES
meropsorientalis,Merops orientalis,2475410,SPECIES
merremiaaegyptia,Merremia aegyptia,9350913,
merremiapinnata,Merremia pinnata,9271423,
messor,Messor,1316342,GENUS
micralesteselongatus,Micralestes elongatus,2356034,SPECIES
microcarboafricanus,Microcarbo africanus,6066519,SPECIES
micronisusgabar,Micronisus gabar,5788495,SPECIES
milvusmigrans,Milvus migrans,5229167,SPECIES
mirafracantillans,Mirafra cantillans,2490599,SPECIES
mirafrarufocinnamomea,Mirafra rufocinnamomea,2490596,SPECIES
mitracarpushirtus,Mitracarpus hirtus,2912993,SPECIES
mitragynainermis,Mitragyna inermis,2900458,
mollugonudicaulis,Mollugo nudicaulis,9476003,
momordicabalsamina,Momordica balsamina,2874582,
momordica,Momordica,2874578,GENUS
monechmandellense,Monechma ndellense,,
moringaoleifera,Moringa oleifera,3054181,SPECIES
mormyrusrume,Mormyrus rume,2402735,SPECIES
motacillaflava,Motacilla flava,9701857,SPECIES
mukiamaderaspatana,Mukia maderaspatana,8364646,
munduleasericea,Mundulea sericea,2933885,SPECIES
mungosmungo,Mungos mungo,5219080,SPECIES
musca,Musca,8097933,GENUS
myomysdaltoni,Myomys daltoni,4264878,
myrmecocichlaaethiops,Myrmecocichla aethiops,2492693,SPECIES
najahaje,Naja haje,2470411,SPECIES
najamelanoleuca,Naja melanoleuca,2470376,
naja,Naja,8965840,GENUS
najanigricollis,Naja nigricollis,7580657,
najaswelwitschii,Najas welwitschii,5329462,SPECIES
necrosyrtesmonachus,Necrosyrtes monachus,2480715,SPECIES
nectariniapulchella,Nectarinia pulchella,7340702,
nelsoniacanescens,Nelsonia canescens,5415356,
neocaryamacrophylla,Neocarya macrophylla,7684641,SPECIES
neophronpercnopterus,Neophron percnopterus,4966730,
neotisdenhami,Neotis denhami,2474874,SPECIES
neptuniaoleracea,Neptunia oleracea,5353533,SPECIES
nicotiana,Nicotiana,2928756,GENUS
nicotianarustica,Nicotiana rustica,,
nicotianatabacum,Nicotiana tabacum,2928774,SPECIES
nothosaervabrachiata,Nothosaerva brachiata,3675362,SPECIES
numidameleagris,Numida meleagris,2473341,SPECIES
nycteristhebaica,Nycteris thebaica,5218614,SPECIES
nymphaealotus,Nymphaea lotus,,
nymphaeamicrantha,Nymphaea micrantha,2882414,SPECIES
nymphaea,Nymphaea,2882411,GENUS
ocimumamericanum,Ocimum americanum,,
oedaleussenegalensis,Oedaleus senegalensis,1714146,SPECIES
oenacapensis,Oena capensis,2495342,SPECIES
oldenlandiacorymbosa,Oldenlandia corymbosa,,
onychognathusneumanni,Onychognathus neumanni,7341433,SPECIES
oplostomusfuligineus,Oplostomus fuligineus,1082819,SPECIES
ornithacriscavroisi,Ornithacris cavroisi,1707099,SPECIES
orthacanthacrishumilicrus,Orthacanthacris humilicrus,1702039,SPECIES
orycteropusafer,Orycteropus afer,5218416,SPECIES
oryzabarthii,Oryza barthii,2703457,SPECIES
oryzalongistaminata,Oryza longistaminata,2703462,SPECIES
oryza,Oryza,2703455,GENUS
oryzasativa,Oryza sativa,,
otussenegalensis,Otus senegalensis,5232311,SPECIES
ourebiaourebiquadriscopa,Ourebia ourebi quadriscopa,4262448,SUBSPECIES
oxybelus,Oxybelus,4298268,GENUS
oxytenantheraabyssinica,Oxytenanthera abyssinica,2703308,SPECIES
pachnodacordata,Pachnoda cordata,1081726,SPECIES
pachnodainterrupta,Pachnoda interrupta,1081732,SPECIES
pachnodamarginata,Pachnoda marginata,1081779,SPECIES
pachycondyla,Pachycondyla,1319685,GENUS
pancratiumtenuifolium,Pancratium tenuifolium,,
pancratiumtrianthum,Pancratium trianthum,2853265,SPECIES
pandiakaangustifolia,Pandiaka angustifolia,3675177,SPECIES
pandinusimperator,Pandinus imperator,6894611,SPECIES
panicumlaetum,Panicum laetum,4139170,SPECIES
panicumsubalbidum,Panicum subalbidum,4123081,SPECIES
pantheraleo,Panthera leo,5219404,SPECIES
pantherapardus,Panthera pardus,5219436,SPECIES
papioanubis,Papio anubis,5707341,SPECIES
parkiabiglobosa,Parkia biglobosa,,
parkinsoniaaculeata,Parkinsonia aculeata,5357217,SPECIES
paspalumscrobiculatum,Paspalum scrobiculatum,,
passergriseus,Passer griseus,5231193,SPECIES
passerluteus,Passer luteus,5231210,SPECIES
pelomedusasubrufa,Pelomedusa subrufa,10545407,SPECIES
pennisetumglaucum,Pennisetum glaucum,,
pennisetumpedicellatum,Pennisetum pedicellatum,,
pennisetumpolystachion,Pennisetum polystachion,,
pentanemaindicum,Pentanema indicum,,
pentatropisnivalis,Pentatropis nivalis,,
pergulariatomentosa,Pergularia tomentosa,7877996,SPECIES
peristrophepaniculata,Peristrophe paniculata,,
persicariadecipiens,Persicaria decipiens,4036197,SPECIES
phacochoerusafricanus,Phacochoerus africanus,2441212,SPECIES
phoeniculuspurpureus,Phoeniculus purpureus,2498452,SPECIES
phoenixdactylifera,Phoenix dactylifera,6109699,SPECIES
phragmitesaustralis,Phragmites australis,5290149,SPECIES
phragmiteskarka,Phragmites karka,5290154,SPECIES
phyllanthusmuellerianus,Phyllanthus muellerianus,5381223,SPECIES
phyllanthuspentandrus,Phyllanthus pentandrus,,
phyllanthusreticulatusreticulatus,Phyllanthus reticulatus reticulatus,7225978,VARIETY
phyllognathusburmeisteri,Phyllognathus burmeisteri,,
physalisangulata,Physalis angulata,,
physalislagascae,Physalis lagascae,5341775,SPECIES
physalis,Physalis,,
pimeliagrandis,Pimelia grandis,,
pinarocoryserythropygia,Pinarocorys erythropygia,2490607,SPECIES
piperguineense,Piper guineense,3086326,SPECIES
pistiastratiotes,Pistia stratiotes,2870583,SPECIES
plectropterusgambensis,Plectropterus gambensis,5232465,SPECIES
ploceuscucullatus,Ploceus cucullatus,2494058,SPECIES
ploceusluteolus,Ploceus luteolus,2494045,SPECIES
podaxispistillaris,Podaxis pistillaris,2535532,SPECIES
poekilocerusbufoniushieroglyphicus,Poekilocerus bufonius hieroglyphicus,6256899,SUBSPECIES
poicephalussenegalus,Poicephalus senegalus,2479964,SPECIES
polistes,Polistes,1310500,GENUS
polycarpaeacorymbosa,Polycarpaea corymbosa,3085781,SPECIES
polydoraserratuloides,Polydora serratuloides,,
polygalaarenaria,Polygala arenaria,7634472,SPECIES
polypterussenegalus,Polypterus senegalus,4287129,SPECIES
portulacafoliosa,Portulaca foliosa,4023429,SPECIES
portulacaoleracea,Portulaca oleracea,3084719,SPECIES
portulacaquadrifida,Portulaca quadrifida,3084699,SPECIES
pouteriaalnifolia,Pouteria alnifolia,2884263,SPECIES
procaviacapensisruficeps,Procavia capensis ruficeps,5219601,SUBSPECIES
prosopisafricana,Prosopis africana,5358514,SPECIES
prosopisjuliflora,Prosopis juliflora,5358460,SPECIES
protopterusannectens,Protopterus annectens,2441257,SPECIES
psammophiselegans,Psammophis elegans,5959464,SPECIES
psammophissibilans,Psammophis sibilans,,
pseudoprotaetiastolata,Pseudoprotaetia stolata,,
psidiumguajava,Psidium guajava,,
psittaculakrameri,Psittacula krameri,2479226,SPECIES
pterocarpuserinaceus,Pterocarpus erinaceus,,
pterocarpuslucens,Pterocarpus lucens,,
pteroclesexustus,Pterocles exustus,9522580,SPECIES
pteroclesquadricinctus,Pterocles quadricinctus,2480203,SPECIES
ptilopachuspetrosus,Ptilopachus petrosus,2474089,SPECIES
ptilopsisleucotis,Ptilopsis leucotis,5232239,SPECIES
ptilostomusafer,Ptilostomus afer,2482461,SPECIES
ptyodactylusragazzii,Ptyodactylus ragazzii,5221124,SPECIES
ptyonoprognefuligulapusilla,Ptyonoprogne fuligula pusilla,6086040,SUBSPECIES
pupalialappacea,Pupalia lappacea,7323604,SPECIES
pycnonotusbarbatus,Pycnonotus barbatus,2486147,SPECIES
pycreusmacrostachyos,Pycreus macrostachyos,,
pyrgomorphavignaudi,Pyrgomorpha vignaudi,7712476,SPECIES
pythonregius,Python regius,2465380,SPECIES
pythonsebae,Python sebae,2465346,SPECIES
queleaquelea,Quelea quelea,2493987,SPECIES
rhabdotissobrina,Rhabdotis sobrina,,
rhinopomamicrophyllum,Rhinopoma microphyllum,5218749,SPECIES
rhinopomastusaterrimus,Rhinopomastus aterrimus,2498432,SPECIES
rhinoptiluschalcopterus,Rhinoptilus chalcopterus,2480735,SPECIES
rhipicephalusturanicus,Rhipicephalus turanicus,2183564,SPECIES
rhynchosiaminimamemnonia,Rhynchosia minima memnonia,5350629,VARIETY
rhynchosiaminimaminima,Rhynchosia minima minima,8656238,FORM
rhynchosiaminima,Rhynchosia minima,,
ricinuscommunis,Ricinus communis,5380041,SPECIES
rogeriaadenophylla,Rogeria adenophylla,,
rottboelliacochinchinensis,Rottboellia cochinchinensis,2704075,SPECIES
rousettusaegyptiacus,Rousettus aegyptiacus,2432953,SPECIES
ruelliacyanea,Ruellia cyanea,5574820,SPECIES
sabasenegalensis,Saba senegalensis,3169621,SPECIES
saccharumofficinarum,Saccharum officinarum,2703912,SPECIES
salvadorapersica,Salvadora persica,5580727,SPECIES
sansevierialiberica,Sansevieria liberica,2770659,SPECIES
sansevieria,Sansevieria,2770498,GENUS
sarcocephaluslatifolius,Sarcocephalus latifolius,,
sarcophaga,Sarcophaga,1463100,GENUS
sarkidiornismelanotos,Sarkidiornis melanotos,2498001,SPECIES
schilbeintermedius,Schilbe intermedius,2341731,SPECIES
schistocercagregaria,Schistocerca gregaria,1707320,SPECIES
schizachyriumexile,Schizachyrium exile,4125020,SPECIES
schoenefeldiagracilis,Schoenefeldia gracilis,4122703,SPECIES
schoenoplectuscorymbosus,Schoenoplectus corymbosus,2711275,SPECIES
scintharistanotabilis,Scintharista notabilis,1713079,SPECIES
sclerocaryabirrea,Sclerocarya birrea,7160810,SPECIES
scolopendra,Scolopendra,2231802,GENUS
scopariadulcis,Scoparia dulcis,,
scopusumbretta,Scopus umbretta,5229154,SPECIES
securidacalongepedunculata,Securidaca longepedunculata,,
senegaliaataxacantha,Senegalia ataxacantha,7510932,SPECIES
senegalialaeta,Senegalia laeta,3796062,SPECIES
senegaliamacrostachya,Senegalia macrostachya,7936172,SPECIES
sennaitalicaitalica,Senna italica italica,7225446,SUBSPECIES
sennaobtusifolia,Senna obtusifolia,2957408,SPECIES
sennaoccidentalis,Senna occidentalis,2957966,SPECIES
serinusleucopygius,Serinus leucopygius,,
sesamumalatum,Sesamum alatum,3172623,SPECIES
sesamumindicum,Sesamum indicum,3172622,SPECIES
sesbaniadalzielii,Sesbania dalzielii,2970627,SPECIES
sesbaniasesban,Sesbania sesban,,
setariapumila,Setaria pumila,,
setariaverticillata,Setaria verticillata,5289686,SPECIES
sherifuriahaningtoni,Sherifuria haningtoni,1707104,SPECIES
sidaabutifolia,Sida abutifolia,5406718,SPECIES
sidacerradoensis,Sida cerradoensis,5619128,SPECIES
sidacordifolia,Sida cordifolia,,
sidarhombifolia,Sida rhombifolia,5406735,SPECIES
sidaspinosa,Sida spinosa,5406741,SPECIES
sidaurens,Sida urens,5406763,SPECIES
sinoxylonsenegalense,Sinoxylon senegalense,5879265,SPECIES
solanumaethiopicum,Solanum aethiopicum,2929847,SPECIES
solanumincanum,Solanum incanum,,
solanummelongena,Solanum melongena,2930617,SPECIES
solanummixedlibrary,Solanum mixed library,,
solanumtuberosum,Solanum tuberosum,,
sorghumarundinaceum,Sorghum arundinaceum,,
sorghumbicolor,Sorghum bicolor,,
spermacocechaetocephala,Spermacoce chaetocephala,2918396,SPECIES
spermacocefilifolia,Spermacoce filifolia,,
spermacoceruelliae,Spermacoce ruelliae,2918087,SPECIES
spermacoce,Spermacoce,2918053,GENUS
spermacocestachydeavarstachydea,Spermacoce stachydea var stachydea,,
sphaeranthusangustifolius,Sphaeranthus angustifolius,7592377,SPECIES
sphenocleazeylanica,Sphenoclea zeylanica,3158672,SPECIES
sphenopsdelislei,Sphenops delislei,,
sphingonotuscanariensisorientalis,Sphingonotus canariensis orientalis,6256570,SUBSPECIES
spiloptilaclamans,Spiloptila clamans,9780994,SPECIES
spodopteraexempta,Spodoptera exempta,5109925,SPECIES
spondiasmombin,Spondias mombin,,
sporobolusfestivus,Sporobolus festivus,4150265,SPECIES
sporobolusmicroprotus,Sporobolus microprotus,4148844,SPECIES
sporopipesfrontalis,Sporopipes frontalis,2494084,SPECIES
steraspis,Steraspis,1150039,GENUS
sterculiasetigera,Sterculia setigera,5406681,SPECIES
stereospermumkunthianum,Stereospermum kunthianum,4092124,SPECIES
sternocerainterrupta,Sternocera interrupta,9308427,SPECIES
streptopeliasenegalensis,Streptopelia senegalensis,2495659,SPECIES
streptopeliavinacea,Streptopelia vinacea,2495694,SPECIES
strigahermonthica,Striga hermonthica,3171159,SPECIES
strophanthussarmentosus,Strophanthus sarmentosus,3169613,SPECIES
struthiocamelus,Struthio camelus,2495150,SPECIES
stylochaetonlancifolius,Stylochaeton lancifolius,,
susscrofa,Sus scrofa,7705930,SPECIES
sylviacantillans,Sylvia cantillans,2492950,SPECIES
sylvicapragrimmia,Sylvicapra grimmia,2441187,SPECIES
synceruscaffer,Syncerus caffer,2441034,SPECIES
synodontisschall,Synodontis schall,2344327,SPECIES
taccaleontopetaloides,Tacca leontopetaloides,2755866,SPECIES
tachymarptisaequatorialis,Tachymarptis aequatorialis,2477349,SPECIES
tamarindusindica,Tamarindus indica,2975768,SPECIES
taphozousmauritianus,Taphozous mauritianus,5218741,SPECIES
tapinanthusbangwensis,Tapinanthus bangwensis,4004487,SPECIES
tapinanthus,Tapinanthus,,
tarentolaannularis,Tarentola annularis,,
tarentolaephippiata,Tarentola ephippiata,,
telescopusobtusus,Telescopus obtusus,2457445,SPECIES
tephrosiabracteolatabracteolata,Tephrosia bracteolata bracteolata,7224769,VARIETY
tephrosialinearis,Tephrosia linearis,5342046,SPECIES
tephrosiamossiensis,Tephrosia mossiensis,5342156,SPECIES
tephrosiaplatycarpa,Tephrosia platycarpa,5342137,SPECIES
tephrosiapurpurealeptostachya,Tephrosia purpurea leptostachya,5342494,SUBSPECIES
tephrosiauniflora,Tephrosia uniflora,8031700,SPECIES
terathopiusecaudatus,Terathopius ecaudatus,2480377,SPECIES
terminaliaavicennioides,Terminalia avicennioides,3699456,SPECIES
terminaliamacroptera,Terminalia macroptera,8232633,SPECIES
tessaratoma,Tessaratoma,4783425,GENUS
tetraodonlineatus,Tetraodon lineatus,5213591,SPECIES
thamnolaeacinnamomeiventris,Thamnolaea cinnamomeiventris,2492397,SPECIES
tinosporabakis,Tinospora bakis,3830860,SPECIES
tockuserythrorhynchus,Tockus erythrorhynchus,2475965,SPECIES
tockusnasutus,Tockus nasutus,2475959,SPECIES
tockussp,Tockus sp.,,
torgostracheliotus,Torgos tracheliotus,2480362,SPECIES
trachydermahispida,Trachyderma hispida,9236809,SPECIES
trachylepisperrotetii,Trachylepis perrotetii,5225355,SPECIES
trachylepisquinquetaeniata,Trachylepis quinquetaeniata,5225411,SPECIES
tragelaphusscriptusscriptus,Tragelaphus scriptus scriptus,7261402,SUBSPECIES
tremaorientalis,Trema orientalis,7141659,SPECIES
treronwaalia,Treron waalia,2495756,SPECIES
tribulusterrestris,Tribulus terrestris,5421116,SPECIES
trichodesmaafricanum,Trichodesma africanum,,
tricliceraspilosum,Tricliceras pilosum,,
tripogonminimus,Tripogon minimus,4116133,SPECIES
triticumaestivum,Triticum aestivum,7795888,SPECIES
triumfettapentandra,Triumfetta pentandra,7917001,SPECIES
tropiocolotestripolitanus,Tropiocolotes tripolitanus,,
turturabyssinicus,Turtur abyssinicus,5231791,SPECIES
tytoalba,Tyto alba,2497921,SPECIES
upupaepops,Upupa epops,2498415,SPECIES
uraeginthusbengalus,Uraeginthus bengalus,2493723,SPECIES
urocoliusmacrourus,Urocolius macrourus,2482321,SPECIES
uromastyxgeyri,Uromastyx geyri,2466112,SPECIES
uvariachamae,Uvaria chamae,3154319,SPECIES
vachelliaamythethophylla,Vachellia amythethophylla,7923036,SPECIES
vachellianilotica,Vachellia nilotica,3974744,SPECIES
vachelliasieberiana,Vachellia sieberiana,7564113,SPECIES
vahliaoldenlandioides,Vahlia oldenlandioides,,
vanellustectus,Vanellus tectus,5229143,SPECIES
varanusgriseus,Varanus griseus,,
varanusniloticus,Varanus niloticus,,
veprisheterophylla,Vepris heterophylla,3834432,SPECIES
vernoniagalamensis,Vernonia galamensis,5397194,SPECIES
viduachalybeata,Vidua chalybeata,2484613,SPECIES
viduamacroura,Vidua macroura,2484628,SPECIES
viduaorientalis,Vidua orientalis,2484620,SPECIES
vignaheterophylla,Vigna heterophylla,2982485,SPECIES
vignaracemosa,Vigna racemosa,,
vignasubterranea,Vigna subterranea,2982714,SPECIES
vignaunguiculata,Vigna unguiculata,,
vigna,Vigna,2982372,GENUS
vitellariaparadoxaparadoxa,Vitellaria paradoxa paradoxa,7065379,SUBSPECIES
vitexdoniana,Vitex doniana,,
vitexmadiensissubspmadiensisoliv,Vitex madiensis subsp. madiensis Oliv.,7784860,SUBSPECIES
vulpespallida,Vulpes pallida,5219237,SPECIES
waltheriaindica,Waltheria indica,5406665,SPECIES
xeruserythropus,Xerus erythropus,8950740,SPECIES
ximeniaamericana,Ximenia americana,2889811,SPECIES
xylopiaaethiopica,Xylopia aethiopica,3157151,SPECIES
xysmalobiumheudelotianum,Xysmalobium heudelotianum,3572171,SPECIES
zacompsafesta,Zacompsa festa,1704334,SPECIES
zaleyapentandra,Zaleya pentandra,7329156,SPECIES
zeamays,Zea mays,5290052,SPECIES
zingiberofficinale,Zingiber officinale,2757280,SPECIES
ziziphusabyssinica,Ziziphus abyssinica,8901234,SPECIES
ziziphusmauritiana,Ziziphus mauritiana,3039424,SPECIES
ziziphusmucronata,Ziziphus mucronata,3875567,SPECIES
zonitoschemagigantea,Zonitoschema gigantea,6952978,SPECIES
zorniaglochidiata,Zornia glochidiata,5355339,SPECIES
